2024-07-26 15:10:05.006685,TX,sn
2024-07-26 15:10:05.033368,RX,SN: OFF -> ON
2024-07-26 15:10:05.059263,RX,00050824 SN T
2024-07-26 15:10:05.110531,RX,00050868 DBG CV   2:	0
2024-07-26 15:10:05.152419,RX,00050932 DBG CV   3:	0
2024-07-26 15:10:05.203244,RX,00050985 DBG CH*  0:	292
2024-07-26 15:10:05.283814,RX,00051049 DBG CV   4:	0
2024-07-26 15:10:05.336934,RX,00051113 DBG CV   5:	0
2024-07-26 15:10:05.415574,RX,00051177 DBG CV   6:	0
2024-07-26 15:10:05.445027,RX,00051230 DBG CH*  1:	0
2024-07-26 15:10:05.526016,RX,00051294 DBG CV   7:	0
2024-07-26 15:10:05.576953,RX,00051358 DBG CV   8:	0
2024-07-26 15:10:05.659376,RX,00051422 DBG CV   9:	0
2024-07-26 15:10:05.685348,RX,00051475 DBG CH*  16:	620
2024-07-26 15:10:05.759621,RX,00051539 DBG CV  10:	0
2024-07-26 15:10:05.817727,RX,00051603 DBG CV  11:	0
2024-07-26 15:10:05.884383,RX,00051667 DBG CV  12:	0
2024-07-26 15:10:05.951080,RX,00051731 DBG CV   1:	0
2024-07-26 15:10:06.002965,RX,00051795 DBG CV   2:	0
2024-07-26 15:10:06.077294,RX,00051859 DBG CV   3:	0
2024-07-26 15:10:06.130734,RX,00051912 DBG CH*  0:	293
2024-07-26 15:10:06.209020,RX,00051976 DBG CV   4:	0
2024-07-26 15:10:06.260715,RX,00052040 DBG CV   5:	0
2024-07-26 15:10:06.341096,RX,00052104 DBG CV   6:	0
2024-07-26 15:10:06.392692,RX,00052157 DBG CH*  1:	0
2024-07-26 15:10:06.446969,RX,00052221 DBG CV   7:	0
2024-07-26 15:10:06.500445,RX,00052285 DBG CV   8:	0
2024-07-26 15:10:06.577050,RX,00052349 DBG CV   9:	0
2024-07-26 15:10:06.629908,RX,00052402 DBG CH*  16:	620
2024-07-26 15:10:06.686906,RX,00052467 DBG CV  10:	0
2024-07-26 15:10:06.752103,RX,00052530 DBG CV  11:	0
2024-07-26 15:10:06.804062,RX,00052594 DBG CV  12:	0
2024-07-26 15:10:06.870749,RX,00052658 DBG CV   1:	0
2024-07-26 15:10:06.937498,RX,00052722 DBG CV   2:	0
2024-07-26 15:10:07.002234,RX,00052786 DBG CV   3:	0
2024-07-26 15:10:07.059337,RX,00052839 DBG CH*  0:	292
2024-07-26 15:10:07.136997,RX,00052903 DBG CV   4:	0
2024-07-26 15:10:07.188325,RX,00052967 DBG CV   5:	0
2024-07-26 15:10:07.264833,RX,00053031 DBG CV   6:	0
2024-07-26 15:10:07.315890,RX,00053084 DBG CH*  1:	0
2024-07-26 15:10:07.367954,RX,00053148 DBG CV   7:	0
2024-07-26 15:10:07.444604,RX,00053212 DBG CV   8:	0
2024-07-26 15:10:07.496112,RX,00053276 DBG CV   9:	0
2024-07-26 15:10:07.551370,RX,00053329 DBG CH*  16:	621
2024-07-26 15:10:07.604534,RX,00053393 DBG CV  10:	0
2024-07-26 15:10:07.604534,TX,sn
2024-07-26 15:10:07.640588,RX,SN: ON  -> OFF
2024-07-26 15:10:07.666806,RX,00053424 SN F
2024-07-26 15:10:09.756412,TX,sh
2024-07-26 15:10:11.035066,TX,sh
2024-07-26 15:10:11.072706,RX,AD n         Immediate ADC DAQ from channel n
2024-07-26 15:10:11.072706,RX,CD n         Return cell n DCIR, if n=0 return all
2024-07-26 15:10:11.100725,RX,CE n         Enable/disable CV inputs (bit pattern)
2024-07-26 15:10:11.109380,RX,CG n         Return config param n
2024-07-26 15:10:11.145354,RX,CR           Return DAQ step wait time
2024-07-26 15:10:11.172436,RX,CU n:val     Set config param n
2024-07-26 15:10:11.173298,RX,CV n         Return cell n voltage, if n=0 output all
2024-07-26 15:10:11.199561,RX,D2           Disable debug level 2
2024-07-26 15:10:11.225892,RX,DB           Disable active balancing
2024-07-26 15:10:11.252568,RX,DD           Disable debug messages
2024-07-26 15:10:11.254513,RX,DE           Disable error messages
2024-07-26 15:10:11.280570,RX,DQ           Disable MQ packet dump
2024-07-26 15:10:11.308450,RX,DT           Disable trace output
2024-07-26 15:10:11.333869,RX,DW           Set DAQ step read out time (step dwell)
2024-07-26 15:10:11.335533,RX,E2           Enable debug level 2
2024-07-26 15:10:11.361843,RX,EB           Enable active balancing
2024-07-26 15:10:11.388188,RX,EC           Ext clock time, returns HH:MM:SS
2024-07-26 15:10:11.414494,RX,ED           Enable debug messages
2024-07-26 15:10:11.415890,RX,EE           Enable error messages
2024-07-26 15:10:11.442548,RX,EL           Dump error log buffer
2024-07-26 15:10:11.468184,RX,EQ           Enable MQ packet dump
2024-07-26 15:10:11.495412,RX,ER           Clear (reset) error log buffer
2024-07-26 15:10:11.495492,RX,ET           Ext temperature, returns nn.n degrees C
2024-07-26 15:10:11.521999,RX,FV           Show Firmware Version
2024-07-26 15:10:11.547940,RX,GP n         Get internal parameter n
2024-07-26 15:10:11.575154,RX,IC           Int clock time, returns HH:MM:SS
2024-07-26 15:10:11.576151,RX,ID           Disable information/verbose messages
2024-07-26 15:10:11.602250,RX,IE           Enable information/verbose messages
2024-07-26 15:10:11.628700,RX,IT           Int temperature, returns nn.n degrees C
2024-07-26 15:10:11.628700,RX,LK           Lock the diagnostics port
2024-07-26 15:10:11.656104,RX,RB           Reset VSB
2024-07-26 15:10:11.682672,RX,RC           Reset system configuration (reload)
2024-07-26 15:10:11.710381,RX,RN           Enable VSB (enter run mode)
2024-07-26 15:10:11.710381,RX,SB           Show GDT status bits
2024-07-26 15:10:11.736684,RX,SC HH:MM:SS  Set external clock
2024-07-26 15:10:11.763168,RX,SE           Dump global fault flags
2024-07-26 15:10:11.790795,RX,SF           Show OPS flags
2024-07-26 15:10:11.795293,RX,SG n         Set cell readout rate n in ms
2024-07-26 15:10:11.824160,RX,SH           Show help: Lists the available commands
2024-07-26 15:10:11.839234,RX,SM           Stack monitor
2024-07-26 15:10:11.873428,RX,SN           Show DN from ADC (toggle)
2024-07-26 15:10:11.873428,RX,SP n:val     Set internal parameter n
2024-07-26 15:10:11.909195,RX,SS           Return current system status
2024-07-26 15:10:11.909195,RX,ST           Stop the VSB  (force idle mode)
2024-07-26 15:10:11.944289,RX,SY           Synchronize clocks
2024-07-26 15:10:11.970133,RX,TA           Enable trace output (active)
2024-07-26 15:10:11.971796,RX,TD           Return time delta in milliseconds
2024-07-26 15:10:11.997773,RX,TE bit #     Toggle specific fault bit in GDT fault table
2024-07-26 15:10:12.026023,RX,UL code      Unlock diagnostics port
2024-07-26 15:10:12.052232,RX,VR n         Do Vref n calibration
2024-07-26 15:10:12.054974,RX,XD           Disable extension bus
2024-07-26 15:10:12.081906,RX,XE           Enable extension bus
2024-07-26 15:10:23.014916,TX,sn
2024-07-26 15:10:23.025329,RX,SN: OFF -> ON
2024-07-26 15:10:23.052061,RX,00068824 SN T
2024-07-26 15:10:23.103815,RX,00068862 DBG CV   4:	0
2024-07-26 15:10:23.156373,RX,00068926 DBG CV   5:	0
2024-07-26 15:10:23.209451,RX,00068990 DBG CV   6:	0
2024-07-26 15:10:23.262416,RX,00069043 DBG CH*  1:	0
2024-07-26 15:10:23.340567,RX,00069107 DBG CV   7:	0
2024-07-26 15:10:23.393711,RX,00069171 DBG CV   8:	0
2024-07-26 15:10:23.473656,RX,00069235 DBG CV   9:	0
2024-07-26 15:10:23.505963,RX,00069288 DBG CH*  16:	621
2024-07-26 15:10:23.569521,RX,00069352 DBG CV  10:	0
2024-07-26 15:10:23.635367,RX,00069416 DBG CV  11:	0
2024-07-26 15:10:23.703657,RX,00069480 DBG CV  12:	0
2024-07-26 15:10:23.771642,RX,00069544 DBG CV   1:	0
2024-07-26 15:10:23.822489,RX,00069608 DBG CV   2:	0
2024-07-26 15:10:23.892712,RX,00069672 DBG CV   3:	0
2024-07-26 15:10:23.948784,RX,00069725 DBG CH*  0:	293
2024-07-26 15:10:24.025887,RX,00069789 DBG CV   4:	0
2024-07-26 15:10:24.077818,RX,00069853 DBG CV   5:	0
2024-07-26 15:10:24.154653,RX,00069917 DBG CV   6:	0
2024-07-26 15:10:24.206054,RX,00069970 DBG CH*  1:	0
2024-07-26 15:10:24.257997,RX,00070034 DBG CV   7:	0
2024-07-26 15:10:24.337060,RX,00070098 DBG CV   8:	0
2024-07-26 15:10:24.390064,RX,00070162 DBG CV   9:	0
2024-07-26 15:10:24.441876,RX,00070215 DBG CH*  16:	621
2024-07-26 15:10:24.503474,RX,00070279 DBG CV  10:	0
2024-07-26 15:10:24.569811,RX,00070343 DBG CV  11:	0
2024-07-26 15:10:24.621225,RX,00070407 DBG CV  12:	0
2024-07-26 15:10:24.694861,RX,00070471 DBG CV   1:	0
2024-07-26 15:10:24.753830,RX,00070535 DBG CV   2:	0
2024-07-26 15:10:24.822127,RX,00070599 DBG CV   3:	0
2024-07-26 15:10:24.878071,RX,00070652 DBG CH*  0:	293
2024-07-26 15:10:24.958496,RX,00070716 DBG CV   4:	0
2024-07-26 15:10:25.010375,RX,00070780 DBG CV   5:	0
2024-07-26 15:10:25.090352,RX,00070844 DBG CV   6:	0
2024-07-26 15:10:25.116179,RX,00070897 DBG CH*  1:	0
2024-07-26 15:10:25.194803,RX,00070961 DBG CV   7:	0
2024-07-26 15:10:25.246420,RX,00071025 DBG CV   8:	0
2024-07-26 15:10:25.323544,RX,00071089 DBG CV   9:	0
2024-07-26 15:10:25.375183,RX,00071142 DBG CH*  16:	621
2024-07-26 15:10:25.426730,RX,00071206 DBG CV  10:	0
2024-07-26 15:10:25.496060,RX,00071270 DBG CV  11:	0
2024-07-26 15:10:25.556683,RX,00071334 DBG CV  12:	0
2024-07-26 15:10:25.621218,RX,00071398 DBG CV   1:	0
2024-07-26 15:10:25.687477,RX,00071462 DBG CV   2:	0
2024-07-26 15:10:25.753283,RX,00071526 DBG CV   3:	0
2024-07-26 15:10:25.807122,RX,00071579 DBG CH*  0:	292
2024-07-26 15:10:25.884023,RX,00071643 DBG CV   4:	0
2024-07-26 15:10:25.937557,RX,00071707 DBG CV   5:	0
2024-07-26 15:10:26.014556,RX,00071771 DBG CV   6:	0
2024-07-26 15:10:26.042614,RX,00071824 DBG CH*  1:	0
2024-07-26 15:10:26.123154,RX,00071888 DBG CV   7:	0
2024-07-26 15:10:26.175023,RX,00071952 DBG CV   8:	0
2024-07-26 15:10:26.256015,RX,00072016 DBG CV   9:	0
2024-07-26 15:10:26.295554,RX,00072069 DBG CH*  16:	620
2024-07-26 15:10:26.357985,RX,00072133 DBG CV  10:	0
2024-07-26 15:10:26.424504,RX,00072197 DBG CV  11:	0
2024-07-26 15:10:26.489499,RX,00072261 DBG CV  12:	0
2024-07-26 15:10:26.554003,RX,00072325 DBG CV   1:	0
2024-07-26 15:10:26.611691,RX,00072389 DBG CV   2:	0
2024-07-26 15:10:26.671777,RX,00072453 DBG CV   3:	0
2024-07-26 15:10:26.731326,RX,00072506 DBG CH*  0:	292
2024-07-26 15:10:26.808657,RX,00072570 DBG CV   4:	0
2024-07-26 15:10:26.860164,RX,00072634 DBG CV   5:	0
2024-07-26 15:10:26.937364,RX,00072698 DBG CV   6:	0
2024-07-26 15:10:26.989113,RX,00072751 DBG CH*  1:	0
2024-07-26 15:10:27.042245,RX,00072815 DBG CV   7:	0
2024-07-26 15:10:27.122305,RX,00072879 DBG CV   8:	0
2024-07-26 15:10:27.176031,RX,00072943 DBG CV   9:	0
2024-07-26 15:10:27.228930,RX,00072996 DBG CH*  16:	620
2024-07-26 15:10:27.289320,RX,00073060 DBG CV  10:	0
2024-07-26 15:10:27.341759,RX,00073124 DBG CV  11:	0
2024-07-26 15:10:27.406526,RX,00073188 DBG CV  12:	0
2024-07-26 15:10:27.476193,RX,00073252 DBG CV   1:	0
2024-07-26 15:10:27.542352,RX,00073316 DBG CV   2:	0
2024-07-26 15:10:27.608408,RX,00073380 DBG CV   3:	0
2024-07-26 15:10:27.659052,RX,00073433 DBG CH*  0:	292
2024-07-26 15:10:27.736232,RX,00073497 DBG CV   4:	0
2024-07-26 15:10:27.788488,RX,00073561 DBG CV   5:	0
2024-07-26 15:10:27.867686,RX,00073625 DBG CV   6:	0
2024-07-26 15:10:27.919355,RX,00073678 DBG CH*  1:	0
2024-07-26 15:10:27.972806,RX,00073742 DBG CV   7:	0
2024-07-26 15:10:28.049112,RX,00073806 DBG CV   8:	0
2024-07-26 15:10:28.100599,RX,00073870 DBG CV   9:	0
2024-07-26 15:10:28.151886,RX,00073923 DBG CH*  16:	620
2024-07-26 15:10:28.203196,RX,00073987 DBG CV  10:	0
2024-07-26 15:10:28.266104,TX,ss
2024-07-26 15:10:28.279845,RX,00074051 DBG CV  11:	0
2024-07-26 15:10:28.306079,RX,
2024-07-26 15:10:28.306079,RX,VSB Status:
2024-07-26 15:10:28.332034,RX,PVM state : 2
2024-07-26 15:10:28.333022,RX,CTC state : 0
2024-07-26 15:10:28.358369,RX,Last CV   : 0
2024-07-26 15:10:28.384245,RX,Last CV DN: 0
2024-07-26 15:10:28.410847,RX,Err count : 2
2024-07-26 15:10:28.411825,RX,Last Error: 20
2024-07-26 15:10:28.412152,RX,
2024-07-26 15:10:28.439133,RX,00074115 DBG CV  12:	0
2024-07-26 15:10:28.465620,RX,00074179 DBG CV   1:	0
2024-07-26 15:10:28.496785,RX,00074243 DBG CV   2:	0
2024-07-26 15:10:28.523465,RX,00074307 DBG CV   3:	0
2024-07-26 15:10:28.601273,RX,00074360 DBG CH*  0:	292
2024-07-26 15:10:28.652986,RX,00074424 DBG CV   4:	0
2024-07-26 15:10:28.732488,RX,00074488 DBG CV   5:	0
2024-07-26 15:10:28.785799,RX,00074552 DBG CV   6:	0
2024-07-26 15:10:28.841886,RX,00074605 DBG CH*  1:	0
2024-07-26 15:10:28.894179,RX,00074669 DBG CV   7:	0
2024-07-26 15:10:28.974581,RX,00074733 DBG CV   8:	0
2024-07-26 15:10:29.027703,RX,00074797 DBG CV   9:	0
2024-07-26 15:10:29.079448,RX,00074850 DBG CH*  16:	621
2024-07-26 15:10:29.130820,RX,00074914 DBG CV  10:	0
2024-07-26 15:10:29.208231,RX,00074978 DBG CV  11:	0
2024-07-26 15:10:29.260365,RX,00075042 DBG CV  12:	0
2024-07-26 15:10:29.296205,TX,ss
2024-07-26 15:10:29.313320,RX,
2024-07-26 15:10:29.314323,RX,VSB Status:
2024-07-26 15:10:29.340061,RX,PVM state : 2
2024-07-26 15:10:29.366227,RX,CTC state : 0
2024-07-26 15:10:29.393563,RX,Last CV   : 0
2024-07-26 15:10:29.393563,RX,Last CV DN: 0
2024-07-26 15:10:29.419700,RX,Err count : 2
2024-07-26 15:10:29.446320,RX,Last Error: 20
2024-07-26 15:10:29.446320,RX,
2024-07-26 15:10:29.472180,RX,00075106 DBG CV   1:	0
2024-07-26 15:10:29.473179,RX,00075170 DBG CV   2:	0
2024-07-26 15:10:29.499040,RX,00075234 DBG CV   3:	0
2024-07-26 15:10:29.525312,RX,00075287 DBG CH*  0:	292
2024-07-26 15:10:29.576740,RX,00075351 DBG CV   4:	0
2024-07-26 15:10:29.653432,RX,00075415 DBG CV   5:	0
2024-07-26 15:10:29.704909,RX,00075479 DBG CV   6:	0
2024-07-26 15:10:29.756111,RX,00075532 DBG CH*  1:	0
2024-07-26 15:10:29.833054,RX,00075596 DBG CV   7:	0
2024-07-26 15:10:29.884697,RX,00075660 DBG CV   8:	0
2024-07-26 15:10:29.961488,RX,00075724 DBG CV   9:	0
2024-07-26 15:10:30.014374,RX,00075777 DBG CH*  16:	621
2024-07-26 15:10:30.067833,RX,00075841 DBG CV  10:	0
2024-07-26 15:10:30.120539,RX,00075905 DBG CV  11:	0
2024-07-26 15:10:30.199183,RX,00075969 DBG CV  12:	0
2024-07-26 15:10:30.251195,RX,00076033 DBG CV   1:	0
2024-07-26 15:10:30.329520,RX,00076097 DBG CV   2:	0
2024-07-26 15:10:30.380968,RX,00076161 DBG CV   3:	0
2024-07-26 15:10:30.461254,RX,00076214 DBG CH*  0:	292
2024-07-26 15:10:30.513705,RX,00076278 DBG CV   4:	0
2024-07-26 15:10:30.592498,RX,00076342 DBG CV   5:	0
2024-07-26 15:10:30.643424,RX,00076406 DBG CV   6:	0
2024-07-26 15:10:30.695537,RX,00076459 DBG CH*  1:	0
2024-07-26 15:10:30.746639,RX,00076523 DBG CV   7:	0
2024-07-26 15:10:30.810090,TX,ss
2024-07-26 15:10:30.823630,RX,00076587 DBG CV   8:	0
2024-07-26 15:10:30.849544,RX,
2024-07-26 15:10:30.850082,RX,VSB Status:
2024-07-26 15:10:30.876247,RX,PVM state : 2
2024-07-26 15:10:30.877241,RX,CTC state : 0
2024-07-26 15:10:30.902962,RX,Last CV   : 0
2024-07-26 15:10:30.915916,RX,Last CV DN: 0
2024-07-26 15:10:30.945380,RX,Err count : 2
2024-07-26 15:10:30.971519,RX,Last Error: 20
2024-07-26 15:10:30.971519,RX,
2024-07-26 15:10:30.972842,RX,00076651 DBG CV   9:	0
2024-07-26 15:10:31.023583,RX,00076704 DBG CH*  16:	620
2024-07-26 15:10:31.024737,RX,00076768 DBG CV  10:	0
2024-07-26 15:10:31.049943,RX,00076832 DBG CV  11:	0
2024-07-26 15:10:31.126790,RX,00076896 DBG CV  12:	0
2024-07-26 15:10:31.178343,RX,00076960 DBG CV   1:	0
2024-07-26 15:10:31.255409,RX,00077024 DBG CV   2:	0
2024-07-26 15:10:31.306972,RX,00077088 DBG CV   3:	0
2024-07-26 15:10:31.384392,RX,00077141 DBG CH*  0:	292
2024-07-26 15:10:31.437540,RX,00077205 DBG CV   4:	0
2024-07-26 15:10:31.517556,RX,00077269 DBG CV   5:	0
2024-07-26 15:10:31.569383,RX,00077333 DBG CV   6:	0
2024-07-26 15:10:31.622940,RX,00077386 DBG CH*  1:	0
2024-07-26 15:10:31.678019,RX,00077450 DBG CV   7:	0
2024-07-26 15:10:31.754721,RX,00077514 DBG CV   8:	0
2024-07-26 15:10:31.806348,RX,00077578 DBG CV   9:	0
2024-07-26 15:10:31.861205,RX,00077631 DBG CH*  16:	620
2024-07-26 15:10:31.913173,RX,00077695 DBG CV  10:	0
2024-07-26 15:10:31.989746,RX,00077759 DBG CV  11:	0
2024-07-26 15:10:32.023882,TX,sh
2024-07-26 15:10:32.042531,RX,00077823 DBG CV  12:	0
2024-07-26 15:10:32.120253,RX,00077887 DBG CV   1:	0
2024-07-26 15:10:32.173075,RX,00077951 DBG CV   2:	0
2024-07-26 15:10:32.252030,RX,00078015 DBG CV   3:	0
2024-07-26 15:10:32.303226,RX,00078068 DBG CH*  0:	293
2024-07-26 15:10:32.380412,RX,00078132 DBG CV   4:	0
2024-07-26 15:10:32.431619,RX,00078196 DBG CV   5:	0
2024-07-26 15:10:32.508744,RX,00078260 DBG CV   6:	0
2024-07-26 15:10:32.535565,RX,00078313 DBG CH*  1:	0
2024-07-26 15:10:32.611820,RX,00078377 DBG CV   7:	0
2024-07-26 15:10:32.663075,RX,00078441 DBG CV   8:	0
2024-07-26 15:10:32.740723,RX,00078505 DBG CV   9:	0
2024-07-26 15:10:32.795516,RX,00078558 DBG CH*  16:	621
2024-07-26 15:10:32.848437,RX,00078622 DBG CV  10:	0
2024-07-26 15:10:32.928980,RX,00078686 DBG CV  11:	0
2024-07-26 15:10:32.984853,RX,00078750 DBG CV  12:	0
2024-07-26 15:10:33.039478,RX,00078814 DBG CV   1:	0
2024-07-26 15:10:33.117053,RX,00078878 DBG CV   2:	0
2024-07-26 15:10:33.169827,RX,00078942 DBG CV   3:	0
2024-07-26 15:10:33.248158,RX,00078995 DBG CH*  0:	292
2024-07-26 15:10:33.299453,RX,00079059 DBG CV   4:	0
